sku,base_image,small_image,thumbnail_image,name,errors
"Super Skinny Suit Jacket Deep Blue XL",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Suit Jacket Deep Blue XL","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Deep Blue XXL",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Deep Blue XXL","Product Type is invalid or not supported"
"Product 10",p3.jpg,p3.jpg,p3.jpg,"Product 10","Product Type is invalid or not supported"
"product 11",p4.jpg,p4.jpg,p4.jpg,"product 11","Product Type is invalid or not supported"
"product 12",p5.jpg,p5.jpg,p5.jpg,"product 12","Product Type is invalid or not supported"
"product 12-1",p6.jpg,p6.jpg,p6.jpg,"product 12-1","Product Type is invalid or not supported"
"product 12-1-1",p1.jpg,p1.jpg,p1.jpg,"product 12-1-1","Product Type is invalid or not supported"
dec30test11,p2.jpg,p2.jpg,p2.jpg,dec30test11,"Product Type is invalid or not supported"
"Skinny Suit Jacket Burgundy XXL",p3.jpg,p3.jpg,p3.jpg,"Skinny Suit Jacket Burgundy XXL","Product Type is invalid or not supported"
"Jack & Jones Bow Tie Knitted",p4.jpg,p4.jpg,p4.jpg,"Jack & Jones Bow Tie Knitted","Product Type is invalid or not supported"
watch-2,p5.jpg,p5.jpg,p5.jpg,watch-2,"Product Type is invalid or not supported"
watch-2,p6.jpg,p6.jpg,p6.jpg,watch-2,"Product Type is invalid or not supported"
boot,p1.jpg,p1.jpg,p1.jpg,boot,"Product Type is invalid or not supported"
boot,p2.jpg,p2.jpg,p2.jpg,boot,"Product Type is invalid or not supported"
shoe,p3.jpg,p3.jpg,p3.jpg,shoe,"Product Type is invalid or not supported"
shoe,p4.jpg,p4.jpg,p4.jpg,shoe,"Product Type is invalid or not supported"
"Skinny Fit Shirt In Camel With Long Sleeves",p5.jpg,p5.jpg,p5.jpg,"Skinny Fit Shirt In Camel With Long Sleeves","Product Type is invalid or not supported"
"Reiss Slim Smart Shirt With Classic Collar",p6.jpg,p6.jpg,p6.jpg,"Reiss Slim Smart Shirt With Classic Collar","Product Type is invalid or not supported"
"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink",p1.jpg,p1.jpg,p1.jpg,"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink","Product Type is invalid or not supported"
"New Look Charcoal Shirt With Floral Print In Regular Print",p2.jpg,p2.jpg,p2.jpg,"New Look Charcoal Shirt With Floral Print In Regular Print","Product Type is invalid or not supported"
"Military Shirt In Black Viscose In Regular Fit",p3.jpg,p3.jpg,p3.jpg,"Military Shirt In Black Viscose In Regular Fit","Product Type is invalid or not supported"
knife-2,p4.jpg,p4.jpg,p4.jpg,knife-2,"Product Type is invalid or not supported"
knife-2,p5.jpg,p5.jpg,p5.jpg,knife-2,"Product Type is invalid or not supported"
"Heart & Dagger Skinny Grandad Shirt In Chambray",p6.jpg,p6.jpg,p6.jpg,"Heart & Dagger Skinny Grandad Shirt In Chambray","Product Type is invalid or not supported"
"Heart & Dagger Skinny Grandad Shirt In Chambray",p1.jpg,p1.jpg,p1.jpg,"Heart & Dagger Skinny Grandad Shirt In Chambray","Product Type is invalid or not supported"
"Farah Oxford Shirt In Slim Fit Light Grey",p2.jpg,p2.jpg,p2.jpg,"Farah Oxford Shirt In Slim Fit Light Grey","Product Type is invalid or not supported"
"Farah Oxford Shirt In Slim Fit Light Grey",p3.jpg,p3.jpg,p3.jpg,"Farah Oxford Shirt In Slim Fit Light Grey","Product Type is invalid or not supported"
"Esprit Stretch Fit Shirt",p4.jpg,p4.jpg,p4.jpg,"Esprit Stretch Fit Shirt","Product Type is invalid or not supported"
"Esprit Stretch Fit Shirt",p5.jpg,p5.jpg,p5.jpg,"Esprit Stretch Fit Shirt","Product Type is invalid or not supported"
"Noose & Monkey Melton Bow Tie Made in Italy",p6.jpg,p6.jpg,p6.jpg,"Noose & Monkey Melton Bow Tie Made in Italy","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie",p1.jpg,p1.jpg,p1.jpg,"Noose & Monkey Bow Tie","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Wool",p2.jpg,p2.jpg,p2.jpg,"Noose & Monkey Bow Tie Wool","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Wool Grey",p3.jpg,p3.jpg,p3.jpg,"Noose & Monkey Bow Tie Wool Grey","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie with Metal Tipping",p4.jpg,p4.jpg,p4.jpg,"Noose & Monkey Bow Tie with Metal Tipping","Product Type is invalid or not supported"
ear-phone,p5.jpg,p5.jpg,p5.jpg,ear-phone,"Product Type is invalid or not supported"
ear-phone,p6.jpg,p6.jpg,p6.jpg,ear-phone,"Product Type is invalid or not supported"
"Skinny Suit Jacket Burgundy XL",p1.jpg,p1.jpg,p1.jpg,"Skinny Suit Jacket Burgundy XL","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Deep Blue XL",p2.jpg,p2.jpg,p2.jpg,"Noose & Monkey Bow Tie Deep Blue XL","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Deep Blue XXL",p3.jpg,p3.jpg,p3.jpg,"Noose & Monkey Bow Tie Deep Blue XXL","Product Type is invalid or not supported"
"Skinny Suit Jacket Blue L",p4.jpg,p4.jpg,p4.jpg,"Skinny Suit Jacket Blue L","Product Type is invalid or not supported"
"Skinny Suit Jacket Blue M",p5.jpg,p5.jpg,p5.jpg,"Skinny Suit Jacket Blue M","Product Type is invalid or not supported"
"Skinny Suit Jacket Blue S",p6.jpg,p6.jpg,p6.jpg,"Skinny Suit Jacket Blue S","Product Type is invalid or not supported"
"Skinny Suit Jacket Blue XL",p1.jpg,p1.jpg,p1.jpg,"Skinny Suit Jacket Blue XL","Product Type is invalid or not supported"
"Skinny Suit Jacket Blue XXL",p2.jpg,p2.jpg,p2.jpg,"Skinny Suit Jacket Blue XXL","Product Type is invalid or not supported"
"Skinny Suit Jacket Burgundy L",p3.jpg,p3.jpg,p3.jpg,"Skinny Suit Jacket Burgundy L","Product Type is invalid or not supported"
"Skinny Suit Jacket Burgundy M",p4.jpg,p4.jpg,p4.jpg,"Skinny Suit Jacket Burgundy M","Product Type is invalid or not supported"
"Skinny Suit Jacket Burgundy S",p5.jpg,p5.jpg,p5.jpg,"Skinny Suit Jacket Burgundy S","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Deep Blue S",p6.jpg,p6.jpg,p6.jpg,"Noose & Monkey Bow Tie Deep Blue S","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Deep Blue M",p1.jpg,p1.jpg,p1.jpg,"Noose & Monkey Bow Tie Deep Blue M","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Deep Blue L",p2.jpg,p2.jpg,p2.jpg,"Noose & Monkey Bow Tie Deep Blue L","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Blue L",p3.jpg,p3.jpg,p3.jpg,"Noose & Monkey Bow Tie Blue L","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Blue M",p4.jpg,p4.jpg,p4.jpg,"Noose & Monkey Bow Tie Blue M","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Blue S",p5.jpg,p5.jpg,p5.jpg,"Noose & Monkey Bow Tie Blue S","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Blue XL",p6.jpg,p6.jpg,p6.jpg,"Noose & Monkey Bow Tie Blue XL","Product Type is invalid or not supported"
"Noose & Monkey Bow Tie Blue XXL",p1.jpg,p1.jpg,p1.jpg,"Noose & Monkey Bow Tie Blue XXL","Product Type is invalid or not supported"
Noose_&_Monkey_Bow_Tie,p2.jpg,p2.jpg,p2.jpg,Noose_&_Monkey_Bow_Tie,"Product Type is invalid or not supported,Specified URL key already exists"
"Skinny Suit Jacket",p3.jpg,p3.jpg,p3.jpg,"Skinny Suit Jacket","Product Type is invalid or not supported"
"Super Skinny Four Button Suit",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Four Button Suit","Product Type is invalid or not supported"
"Super Skinny Suit Jacket",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Suit Jacket","Product Type is invalid or not supported"
"Heart & Dagger Slim Shirt In Check With Cut Away Collar",p6.jpg,p6.jpg,p6.jpg,"Heart & Dagger Slim Shirt In Check With Cut Away Collar","Product Type is invalid or not supported"
"Heart & Dagger Slim Shirt In Check With Cut Away Collar",p1.jpg,p1.jpg,p1.jpg,"Heart & Dagger Slim Shirt In Check With Cut Away Collar","Product Type is invalid or not supported"
"Knitted Bow Tie In Burgundy Marl",p2.jpg,p2.jpg,p2.jpg,"Knitted Bow Tie In Burgundy Marl","Product Type is invalid or not supported"
shoe-1,p1.jpg,p1.jpg,p1.jpg,shoe-1,"Product Type is invalid or not supported"
