sku,base_image,small_image,thumbnail_image,name,errors
"Super Skinny Suit Jacket Deep Blue L",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Suit Jacket Deep Blue L","Product with specified SKU not found"
"Super Skinny Suit Jacket Deep Blue M",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Suit Jacket Deep Blue M","Product with specified SKU not found"
watch,p5.jpg,p5.jpg,p5.jpg,watch,"Product with specified SKU not found"
watch,p6.jpg,p6.jpg,p6.jpg,watch,"Product with specified SKU not found"
watch-1,p1.jpg,p1.jpg,p1.jpg,watch-1,"Product with specified SKU not found"
watch-1,p2.jpg,p2.jpg,p2.jpg,watch-1,"Product with specified SKU not found"
Cell-phone,p3.jpg,p3.jpg,p3.jpg,Cell-phone,"Product with specified SKU not found"
Cell-phone,p4.jpg,p4.jpg,p4.jpg,Cell-phone,"Product with specified SKU not found"
test5,p5.jpg,p5.jpg,p5.jpg,test5,"Product with specified SKU not found"
Dec30test,p6.jpg,p6.jpg,p6.jpg,Dec30test,"Product with specified SKU not found"
dec30test2,p1.jpg,p1.jpg,p1.jpg,dec30test2,"Product with specified SKU not found"
dec30test7,p2.jpg,p2.jpg,p2.jpg,dec30test7,"Product with specified SKU not found"
dec30test9,p3.jpg,p3.jpg,p3.jpg,dec30test9,"Product with specified SKU not found"
"Product 10-1",p4.jpg,p4.jpg,p4.jpg,"Product 10-1","Product with specified SKU not found"
"product 12-1-1-1",p5.jpg,p5.jpg,p5.jpg,"product 12-1-1-1","Product with specified SKU not found"
"Super Skinny Suit Jacket Deep Blue S",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Suit Jacket Deep Blue S","Product with specified SKU not found"
"Super Skinny Suit Jacket Deep Blue XL",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Suit Jacket Deep Blue XL","Product with specified SKU not found"
"Super Skinny Suit Jacket Deep Blue XXL",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Deep Blue XXL","Product with specified SKU not found"
"Product 10",p3.jpg,p3.jpg,p3.jpg,"Product 10","Product with specified SKU not found"
"product 11",p4.jpg,p4.jpg,p4.jpg,"product 11","Product with specified SKU not found"
"product 12",p5.jpg,p5.jpg,p5.jpg,"product 12","Product with specified SKU not found"
"product 12-1",p6.jpg,p6.jpg,p6.jpg,"product 12-1","Product with specified SKU not found"
"product 12-1-1",p1.jpg,p1.jpg,p1.jpg,"product 12-1-1","Product with specified SKU not found"
dec30test11,p2.jpg,p2.jpg,p2.jpg,dec30test11,"Product with specified SKU not found"
"Skinny Suit Jacket Burgundy XXL",p3.jpg,p3.jpg,p3.jpg,"Skinny Suit Jacket Burgundy XXL","Product with specified SKU not found"
"Jack & Jones Bow Tie Knitted",p4.jpg,p4.jpg,p4.jpg,"Jack & Jones Bow Tie Knitted","Product with specified SKU not found"
watch-2,p5.jpg,p5.jpg,p5.jpg,watch-2,"Product with specified SKU not found"
watch-2,p6.jpg,p6.jpg,p6.jpg,watch-2,"Product with specified SKU not found"
boot,p1.jpg,p1.jpg,p1.jpg,boot,"Product with specified SKU not found"
boot,p2.jpg,p2.jpg,p2.jpg,boot,"Product with specified SKU not found"
shoe,p3.jpg,p3.jpg,p3.jpg,shoe,"Product with specified SKU not found"
shoe,p4.jpg,p4.jpg,p4.jpg,shoe,"Product with specified SKU not found"
"Skinny Fit Shirt In Camel With Long Sleeves",p5.jpg,p5.jpg,p5.jpg,"Skinny Fit Shirt In Camel With Long Sleeves","Product with specified SKU not found"
"Reiss Slim Smart Shirt With Classic Collar",p6.jpg,p6.jpg,p6.jpg,"Reiss Slim Smart Shirt With Classic Collar","Product with specified SKU not found"
"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink",p1.jpg,p1.jpg,p1.jpg,"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink","Product with specified SKU not found"
"New Look Charcoal Shirt With Floral Print In Regular Print",p2.jpg,p2.jpg,p2.jpg,"New Look Charcoal Shirt With Floral Print In Regular Print","Product with specified SKU not found"
"Military Shirt In Black Viscose In Regular Fit",p3.jpg,p3.jpg,p3.jpg,"Military Shirt In Black Viscose In Regular Fit","Product with specified SKU not found"
knife-2,p4.jpg,p4.jpg,p4.jpg,knife-2,"Product with specified SKU not found"
knife-2,p5.jpg,p5.jpg,p5.jpg,knife-2,"Product with specified SKU not found"
"Heart & Dagger Skinny Grandad Shirt In Chambray",p6.jpg,p6.jpg,p6.jpg,"Heart & Dagger Skinny Grandad Shirt In Chambray","Product with specified SKU not found"
"Heart & Dagger Skinny Grandad Shirt In Chambray",p1.jpg,p1.jpg,p1.jpg,"Heart & Dagger Skinny Grandad Shirt In Chambray","Product with specified SKU not found"
"Farah Oxford Shirt In Slim Fit Light Grey",p2.jpg,p2.jpg,p2.jpg,"Farah Oxford Shirt In Slim Fit Light Grey","Product with specified SKU not found"
"Farah Oxford Shirt In Slim Fit Light Grey",p3.jpg,p3.jpg,p3.jpg,"Farah Oxford Shirt In Slim Fit Light Grey","Product with specified SKU not found"
"Esprit Stretch Fit Shirt",p4.jpg,p4.jpg,p4.jpg,"Esprit Stretch Fit Shirt","Product with specified SKU not found"
"Esprit Stretch Fit Shirt",p5.jpg,p5.jpg,p5.jpg,"Esprit Stretch Fit Shirt","Product with specified SKU not found"
"Noose & Monkey Melton Bow Tie Made in Italy",p6.jpg,p6.jpg,p6.jpg,"Noose & Monkey Melton Bow Tie Made in Italy","Product with specified SKU not found"
"Noose & Monkey Bow Tie",p1.jpg,p1.jpg,p1.jpg,"Noose & Monkey Bow Tie","Product with specified SKU not found"
"Noose & Monkey Bow Tie Wool",p2.jpg,p2.jpg,p2.jpg,"Noose & Monkey Bow Tie Wool","Product with specified SKU not found"
"Noose & Monkey Bow Tie Wool Grey",p3.jpg,p3.jpg,p3.jpg,"Noose & Monkey Bow Tie Wool Grey","Product with specified SKU not found"
"Noose & Monkey Bow Tie with Metal Tipping",p4.jpg,p4.jpg,p4.jpg,"Noose & Monkey Bow Tie with Metal Tipping","Product with specified SKU not found"
ear-phone,p5.jpg,p5.jpg,p5.jpg,ear-phone,"Product with specified SKU not found"
ear-phone,p6.jpg,p6.jpg,p6.jpg,ear-phone,"Product with specified SKU not found"
"Skinny Suit Jacket Burgundy XL",p1.jpg,p1.jpg,p1.jpg,"Skinny Suit Jacket Burgundy XL","Product with specified SKU not found"
"Noose & Monkey Bow Tie Deep Blue XL",p2.jpg,p2.jpg,p2.jpg,"Noose & Monkey Bow Tie Deep Blue XL","Product with specified SKU not found"
"Noose & Monkey Bow Tie Deep Blue XXL",p3.jpg,p3.jpg,p3.jpg,"Noose & Monkey Bow Tie Deep Blue XXL","Product with specified SKU not found"
"Skinny Suit Jacket Blue L",p4.jpg,p4.jpg,p4.jpg,"Skinny Suit Jacket Blue L","Product with specified SKU not found"
"Skinny Suit Jacket Blue M",p5.jpg,p5.jpg,p5.jpg,"Skinny Suit Jacket Blue M","Product with specified SKU not found"
"Skinny Suit Jacket Blue S",p6.jpg,p6.jpg,p6.jpg,"Skinny Suit Jacket Blue S","Product with specified SKU not found"
"Skinny Suit Jacket Blue XL",p1.jpg,p1.jpg,p1.jpg,"Skinny Suit Jacket Blue XL","Product with specified SKU not found"
"Skinny Suit Jacket Blue XXL",p2.jpg,p2.jpg,p2.jpg,"Skinny Suit Jacket Blue XXL","Product with specified SKU not found"
"Skinny Suit Jacket Burgundy L",p3.jpg,p3.jpg,p3.jpg,"Skinny Suit Jacket Burgundy L","Product with specified SKU not found"
"Skinny Suit Jacket Burgundy M",p4.jpg,p4.jpg,p4.jpg,"Skinny Suit Jacket Burgundy M","Product with specified SKU not found"
"Skinny Suit Jacket Burgundy S",p5.jpg,p5.jpg,p5.jpg,"Skinny Suit Jacket Burgundy S","Product with specified SKU not found"
"Noose & Monkey Bow Tie Deep Blue S",p6.jpg,p6.jpg,p6.jpg,"Noose & Monkey Bow Tie Deep Blue S","Product with specified SKU not found"
"Noose & Monkey Bow Tie Deep Blue M",p1.jpg,p1.jpg,p1.jpg,"Noose & Monkey Bow Tie Deep Blue M","Product with specified SKU not found"
"Noose & Monkey Bow Tie Deep Blue L",p2.jpg,p2.jpg,p2.jpg,"Noose & Monkey Bow Tie Deep Blue L","Product with specified SKU not found"
"Noose & Monkey Bow Tie Blue L",p3.jpg,p3.jpg,p3.jpg,"Noose & Monkey Bow Tie Blue L","Product with specified SKU not found"
"Noose & Monkey Bow Tie Blue M",p4.jpg,p4.jpg,p4.jpg,"Noose & Monkey Bow Tie Blue M","Product with specified SKU not found"
"Noose & Monkey Bow Tie Blue S",p5.jpg,p5.jpg,p5.jpg,"Noose & Monkey Bow Tie Blue S","Product with specified SKU not found"
"Noose & Monkey Bow Tie Blue XL",p6.jpg,p6.jpg,p6.jpg,"Noose & Monkey Bow Tie Blue XL","Product with specified SKU not found"
"Noose & Monkey Bow Tie Blue XXL",p1.jpg,p1.jpg,p1.jpg,"Noose & Monkey Bow Tie Blue XXL","Product with specified SKU not found"
Noose_&_Monkey_Bow_Tie,p2.jpg,p2.jpg,p2.jpg,Noose_&_Monkey_Bow_Tie,"Product with specified SKU not found"
"Skinny Suit Jacket",p3.jpg,p3.jpg,p3.jpg,"Skinny Suit Jacket","Product with specified SKU not found"
"Super Skinny Four Button Suit",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Four Button Suit","Product with specified SKU not found"
"Super Skinny Suit Jacket",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Suit Jacket","Product with specified SKU not found"
"Heart & Dagger Slim Shirt In Check With Cut Away Collar",p6.jpg,p6.jpg,p6.jpg,"Heart & Dagger Slim Shirt In Check With Cut Away Collar","Product with specified SKU not found"
"Heart & Dagger Slim Shirt In Check With Cut Away Collar",p1.jpg,p1.jpg,p1.jpg,"Heart & Dagger Slim Shirt In Check With Cut Away Collar","Product with specified SKU not found"
"Knitted Bow Tie In Burgundy Marl",p2.jpg,p2.jpg,p2.jpg,"Knitted Bow Tie In Burgundy Marl","Product with specified SKU not found"
shoe-1,p1.jpg,p1.jpg,p1.jpg,shoe-1,"Product with specified SKU not found"
