sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus,errors
"Super Skinny Four Button Suit Grey XXL",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black M",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black S",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_four_button_suit_in_black.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black XL",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black XXL",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey L",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey M",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey S",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_four_button_suit_in_grey.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey XL",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Brown XXL",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue L",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue M",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
watch,,Default_Old,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
watch-1,,Default_Old,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/3/p3_1_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
Cell-phone,,Default_Old,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/132.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
test5,,Default_Old,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3_2.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
Dec30test,,Default,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/6/p6_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
dec30test2,,Default,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/132_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
dec30test7,,Default_Old,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,333,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/5/p5_2.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
dec30test9,,Default,simple,"Tech Affair/Gadgets",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/133_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Product 10-1",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 1",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,"/s/u/super_skinny_fit_suit_in_brown_1_6.jpg,/n/o/noose___monkey_super_skinny_suit_1_6.jpg,/h/e/heart___dagger_tonal_brushed_check_suit_1_6.jpg,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_2_6.jpg",",,,",,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"product 12-1-1-1",,Default,simple,"Tech Affair/Bow ties/COVERPLATE USB CHARGER",base,,,,,,,,,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue S",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue XL",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_suit_jacket_in_deep_blue.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue XXL",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Product 10",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 1",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,"/s/u/super_skinny_fit_suit_in_brown_1.jpg,/n/o/noose___monkey_super_skinny_suit_1.jpg,/h/e/heart___dagger_tonal_brushed_check_suit_1.jpg,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_2.jpg",",,,",,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"product 11",,Default,simple,"Tech Affair/Bow ties/COVERPLATE USB CHARGER",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"product 12",,Default,simple,"Tech Affair/Bow ties/COVERPLATE USB CHARGER",base,,,,,,,,,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"product 12-1",,Default,simple,"Tech Affair/Bow ties/COVERPLATE USB CHARGER",base,,,,,,,,,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"product 12-1-1",,Default,simple,"Tech Affair/Bow ties/COVERPLATE USB CHARGER",base,,,,,,,,,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
dec30test11,,Default,simple,,base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Burgundy XXL",,Default,simple,"Tech Affair/Sale",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Jack & Jones Bow Tie Knitted",,Default,simple,"Tech Affair/Bow ties,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/LAVITATING PLANTER,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA,Tech Affair/Bow ties/PEPPER SPRAY GUN,Tech Affair/Bow ties/Ride On,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 1,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 2,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 3,Tech Affair/Bow ties/LAVITATING PLANTER/Subcategory 1,Tech Affair/Bow ties/LAVITATING PLANTER/Subcategory 2,Tech Affair/Bow ties/LAVITATING PLANTER/Subcategory 3,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA/Subcategory 1,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA/Subcategory 2,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA/Subcategory 3,Tech Affair/Bow ties/PEPPER SPRAY GUN/Subcategory 1,Tech Affair/Bow ties/PEPPER SPRAY GUN/Subcategory 2,Tech Affair/Bow ties/PEPPER SPRAY GUN/Subcategory 3,Tech Affair/Bow ties/Ride On/Subcategory 1,Tech Affair/Bow ties/Ride On/Subcategory 2,Tech Affair/Bow ties/Ride On/Subcategory 3",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Noose & Monkey Bow Tie Wool,Noose & Monkey Bow Tie Wool Grey,Noose & Monkey Bow Tie with Metal Tipping,Knitted Bow Tie In Burgundy Marl","0,0,0,0","Noose & Monkey Bow Tie Wool,Noose & Monkey Bow Tie Wool Grey,Noose & Monkey Bow Tie with Metal Tipping,Knitted Bow Tie In Burgundy Marl","0,0,0,0","Noose & Monkey Bow Tie Wool,Noose & Monkey Bow Tie Wool Grey,Noose & Monkey Bow Tie with Metal Tipping,Knitted Bow Tie In Burgundy Marl","0,0,0,0",/j/a/jack___jones_bow_tie_knitted.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
watch-2,,Default,simple,"Tech Affair/Gadgets,Tech Affair/Outdoor",base,,,,,,,,,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,1,0,0,0,"shoe,boot,ear-phone,knife-2","1,2,3,4","shoe,boot,ear-phone,knife-2","1,2,3,4","shoe,boot,ear-phone,knife-2","1,2,3,4",/p/5/p5_2_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
boot,,Default,simple,"Tech Affair/Gadgets,Tech Affair/Outdoor",base,,,,,,,,,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,1,0,0,0,"shoe,watch-2,ear-phone,knife-2","1,2,3,4","shoe,watch-2,ear-phone,knife-2","1,2,3,4","shoe,watch-2,ear-phone,knife-2","1,2,3,4",/p/1/p1_3_1.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
shoe,,Default,simple,"Tech Affair/Gadgets,Tech Affair/Outdoor",base,,,,,,,,,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,1,0,0,0,"boot,watch-2,ear-phone,knife-2","1,2,3,4","boot,watch-2,ear-phone,knife-2","1,2,3,4","boot,watch-2,ear-phone,knife-2","1,2,3,4",/p/1/p1_2.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Skinny Fit Shirt In Camel With Long Sleeves",,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,,,,,,,,,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/s/k/skinny_fit_shirt_in_camel_with_long_sleeves.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Reiss Slim Smart Shirt With Classic Collar",,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,,,,,,,,,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/r/e/reiss_slim_smart_shirt_with_classic_collar.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink",,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,,,,,,,,,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/p/o/polo_ralph_lauren_smart_poplin_shirt_in_slim_fit_pink.jpg,,,,,,,,,,,,,"Please make sure attribute ""name"" is not empty."
