sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_keywords,base_image,small_image,thumbnail_image,display_product_options_in,gift_message_available,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
Product-12,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 12,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 12,product 12,p5.jpg,p5.jpg,p5.jpg,Block after Info Column,No,"color=Yellow,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-13,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 13,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 13,product 13,p6.jpg,p6.jpg,p6.jpg,Block after Info Column,No,"color=White,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-14,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 14,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 14,product 14,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=L",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-15,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 15,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 15,product 15,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=L",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-16,Default,simple,Tech Affair/Sale,base,Product 16,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 16,product 16,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=L",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-17,Default,simple,Tech Affair/Sale,base,Product 17,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 17,product 17,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=L",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-18,Default,simple,Tech Affair/Sale,base,Product 18,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 18,product 18,p5.jpg,p5.jpg,p5.jpg,Block after Info Column,No,"color=Yellow,hover_image=no_selection,is_recurring=Yes,size=L",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-19,Default,simple,Tech Affair/Sale,base,Product 19,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 19,product 19,p6.jpg,p6.jpg,p6.jpg,Block after Info Column,No,"color=White,hover_image=no_selection,is_recurring=Yes,size=L",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-20,Default,simple,Tech Affair/Sale,base,Product 20,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 20,product 20,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=XL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-21,Default,simple,Tech Affair/Sale,base,Product 21,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 21,product 21,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=XL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-22,Default,simple,Tech Affair/Sale,base,Product 22,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 22,product 22,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=XL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-23,Default,simple,Tech Affair/Sale,base,Product 23,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 23,product 23,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=XL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-24,Default,simple,Tech Affair/Sale,base,Product 24,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 24,product 24,p5.jpg,p5.jpg,p5.jpg,Block after Info Column,No,"color=Yellow,hover_image=no_selection,is_recurring=Yes,size=XL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-25,Default,simple,Tech Affair/Sale,base,Product 25,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 25,product 25,p6.jpg,p6.jpg,p6.jpg,Block after Info Column,No,"color=White,hover_image=no_selection,is_recurring=Yes,size=XL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-26,Default,simple,Tech Affair/Sale,base,Product 26,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 26,product 26,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=XXL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-27,Default,simple,Tech Affair/Sale,base,Product 27,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 27,product 27,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=XXL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-28,Default,simple,Tech Affair/Sale,base,Product 28,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 28,product 28,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=XXL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-29,Default,simple,Tech Affair/Sale,base,Product 29,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 29,product 29,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=XXL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-30,Default,simple,Tech Affair/Sale,base,Product 30,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 30,product 30,p5.jpg,p5.jpg,p5.jpg,Block after Info Column,No,"color=Yellow,hover_image=no_selection,is_recurring=Yes,size=XXL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-31,Default,simple,Tech Affair/Sale,base,Product 31,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 31,product 31,p6.jpg,p6.jpg,p6.jpg,Block after Info Column,No,"color=White,hover_image=no_selection,is_recurring=Yes,size=XXL",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-32,Default,simple,Tech Affair/Sale,base,Product 32,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 32,product 32,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-33,Default,simple,Tech Affair/Gadgets,base,Product 33,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 33,product 33,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-34,Default,simple,Tech Affair/Gadgets,base,Product 34,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 34,product 34,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-35,Default,simple,Tech Affair/Gadgets,base,Product 35,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 35,product 35,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-36,Default,simple,Tech Affair/Gadgets,base,Product 36,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 36,product 36,p5.jpg,p5.jpg,p5.jpg,Block after Info Column,No,"color=Yellow,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-37,Default,simple,Tech Affair/Gadgets,base,Product 37,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 37,product 37,p6.jpg,p6.jpg,p6.jpg,Block after Info Column,No,"color=White,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-38,Default,simple,Tech Affair/Gadgets,base,Product 38,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 38,product 38,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-39,Default,simple,Tech Affair/Gadgets,base,Product 39,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 39,product 39,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-40,Default,simple,Tech Affair/Gadgets,base,Product 40,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 40,product 40,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-41,Default,simple,Tech Affair/Gadgets,base,Product 41,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 41,product 41,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
