sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
Super Skinny Four Button Suit Black XL,,Default,simple,Tech Affair/Sale,base,product14,,,,,,,140,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Black XXL,,Default,simple,Tech Affair/Sale,base,product15,,,,,,,150,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey L,,Default,simple,Tech Affair/Sale,base,product16,,,,,,,160,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey M,,Default,simple,Tech Affair/Sale,base,product17,,,,,,,170,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey S,,Default,simple,Tech Affair/Sale,base,product18,,,,,,,180,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_four_button_suit_in_grey.jpg,,,,,,,,,,,,
Super Skinny Four Button Suit Grey XL,,Default,simple,Tech Affair/Sale,base,product19,,,,,,,190,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown XXL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product20,,,,,,,200,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue L,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product21,,,,,,,210,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue M,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product22,,,,,,,220,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
watch,,Default_Old,simple,Tech Affair/Gadgets,base,product23,,,,,,,230,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3_1.jpg,,,,,,,,,,,,
watch-1,,Default_Old,simple,Tech Affair/Gadgets,base,product24,,,,,,,240,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/3/p3_1_1.jpg,,,,,,,,,,,,
Cell-phone,,Default_Old,simple,Tech Affair/Gadgets,base,product25,,,,,,,250,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/132.jpg,,,,,,,,,,,,
test5,,Default_Old,simple,Tech Affair/Gadgets,base,product26,,,,,,,260,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3_2.jpg,,,,,,,,,,,,
Dec30test,,Default,simple,Tech Affair/Gadgets,base,product27,,,,,,,270,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/6/p6_1.jpg,,,,,,,,,,,,
dec30test2,,Default,simple,Tech Affair/Gadgets,base,product28,,,,,,,280,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/132_1.jpg,,,,,,,,,,,,
dec30test7,,Default_Old,simple,Tech Affair/Gadgets,base,product29,,,,,,,290,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,333,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/5/p5_2.jpg,,,,,,,,,,,,
dec30test9,,Default,simple,Tech Affair/Gadgets,base,product30,,,,,,,300,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/133_1.jpg,,,,,,,,,,,,
Product 10-1,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 1",base,product31,,,,,,,310,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,"/s/u/super_skinny_fit_suit_in_brown_1_6.jpg,/n/o/noose___monkey_super_skinny_suit_1_6.jpg,/h/e/heart___dagger_tonal_brushed_check_suit_1_6.jpg,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_2_6.jpg",",,,",,,,,,,,,,,
product 12-1-1-1,,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,product32,,,,,,,320,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue S,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product33,,,,,,,330,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue XL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product34,,,,,,,340,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_suit_jacket_in_deep_blue.jpg,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue XXL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product35,,,,,,,350,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Product 10,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 1",base,product36,,,,,,,360,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,"/s/u/super_skinny_fit_suit_in_brown_1.jpg,/n/o/noose___monkey_super_skinny_suit_1.jpg,/h/e/heart___dagger_tonal_brushed_check_suit_1.jpg,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_2.jpg",",,,",,,,,,,,,,,
product 11,,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,product37,,,,,,,370,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_1.jpg,,,,,,,,,,,,
product 12,,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,product38,,,,,,,380,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
product 12-1,,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,product39,,,,,,,390,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
product 12-1-1,,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,product40,,,,,,,400,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
dec30test11,,Default,simple,,base,product41,,,,,,,410,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3.jpg,,,,,,,,,,,,
Skinny Suit Jacket Burgundy XXL,,Default,simple,Tech Affair/Sale,base,product42,,,,,,,420,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Jack & Jones Bow Tie Knitted,,Default,simple,"Tech Affair/Bow ties,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/LAVITATING PLANTER,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA,Tech Affair/Bow ties/PEPPER SPRAY GUN,Tech Affair/Bow ties/Ride On,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 1,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 2,Tech Affair/Bow ties/COVERPLATE USB CHARGER/Subcategory 3,Tech Affair/Bow ties/LAVITATING PLANTER/Subcategory 1,Tech Affair/Bow ties/LAVITATING PLANTER/Subcategory 2,Tech Affair/Bow ties/LAVITATING PLANTER/Subcategory 3,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA/Subcategory 1,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA/Subcategory 2,Tech Affair/Bow ties/DOORBELL WIRELESS CAMERA/Subcategory 3,Tech Affair/Bow ties/PEPPER SPRAY GUN/Subcategory 1,Tech Affair/Bow ties/PEPPER SPRAY GUN/Subcategory 2,Tech Affair/Bow ties/PEPPER SPRAY GUN/Subcategory 3,Tech Affair/Bow ties/Ride On/Subcategory 1,Tech Affair/Bow ties/Ride On/Subcategory 2,Tech Affair/Bow ties/Ride On/Subcategory 3",base,product43,,,,,,,430,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Noose & Monkey Bow Tie Wool,Noose & Monkey Bow Tie Wool Grey,Noose & Monkey Bow Tie with Metal Tipping,Knitted Bow Tie In Burgundy Marl","0,0,0,0","Noose & Monkey Bow Tie Wool,Noose & Monkey Bow Tie Wool Grey,Noose & Monkey Bow Tie with Metal Tipping,Knitted Bow Tie In Burgundy Marl","0,0,0,0","Noose & Monkey Bow Tie Wool,Noose & Monkey Bow Tie Wool Grey,Noose & Monkey Bow Tie with Metal Tipping,Knitted Bow Tie In Burgundy Marl","0,0,0,0",/j/a/jack___jones_bow_tie_knitted.jpg,,,,,,,,,,,,
watch-2,,Default,simple,"Tech Affair/Gadgets,Tech Affair/Outdoor",base,product44,,,,,,,440,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,1,0,0,0,"shoe,boot,ear-phone,knife-2","1,2,3,4","shoe,boot,ear-phone,knife-2","1,2,3,4","shoe,boot,ear-phone,knife-2","1,2,3,4",/p/5/p5_2_1.jpg,,,,,,,,,,,,
boot,,Default,simple,"Tech Affair/Gadgets,Tech Affair/Outdoor",base,product45,,,,,,,450,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,1,0,0,0,"shoe,watch-2,ear-phone,knife-2","1,2,3,4","shoe,watch-2,ear-phone,knife-2","1,2,3,4","shoe,watch-2,ear-phone,knife-2","1,2,3,4",/p/1/p1_3_1.jpg,,,,,,,,,,,,
shoe,,Default,simple,"Tech Affair/Gadgets,Tech Affair/Outdoor",base,product46,,,,,,,460,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,1,0,0,0,"boot,watch-2,ear-phone,knife-2","1,2,3,4","boot,watch-2,ear-phone,knife-2","1,2,3,4","boot,watch-2,ear-phone,knife-2","1,2,3,4",/p/1/p1_2.jpg,,,,,,,,,,,,
Skinny Fit Shirt In Camel With Long Sleeves,,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,product47,,,,,,,470,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/s/k/skinny_fit_shirt_in_camel_with_long_sleeves.jpg,,,,,,,,,,,,
Reiss Slim Smart Shirt With Classic Collar,,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,product48,,,,,,,480,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/r/e/reiss_slim_smart_shirt_with_classic_collar.jpg,,,,,,,,,,,,
Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink,,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,product49,,,,,,,490,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/p/o/polo_ralph_lauren_smart_poplin_shirt_in_slim_fit_pink.jpg,,,,,,,,,,,,
New Look Charcoal Shirt With Floral Print In Regular Print,,Default,simple,"Tech Affair/New,Tech Affair/Home & Office",base,product50,,,,,,,500,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,"Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0","Heart & Dagger Slim Shirt In Check With Cut Away Collar,Heart & Dagger Skinny Grandad Shirt In Chambray,Farah Oxford Shirt In Slim Fit Light Grey,Esprit Stretch Fit Shirt","0,0,0,0",/n/e/new_look_charcoal_shirt_with_floral_print_in_regular_print.jpg,,,,,,,,,,,,
