sku,base_image,small_image,thumbnail_image,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type
Noose & Monkey Melton Bow Tie Made in Italy,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Noose & Monkey Bow Tie,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Noose & Monkey Bow Tie Wool,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Noose & Monkey Bow Tie Wool Grey,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Noose & Monkey Bow Tie with Metal Tipping,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
ear-phone,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
ear-phone,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Skinny Suit Jacket Burgundy XL,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Noose & Monkey Bow Tie Deep Blue XL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Noose & Monkey Bow Tie Deep Blue XXL,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Skinny Suit Jacket Blue L,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Skinny Suit Jacket Blue M,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Skinny Suit Jacket Blue S,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Skinny Suit Jacket Blue XL,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Skinny Suit Jacket Blue XXL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Skinny Suit Jacket Burgundy L,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Skinny Suit Jacket Burgundy M,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Skinny Suit Jacket Burgundy S,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Noose & Monkey Bow Tie Deep Blue S,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Noose & Monkey Bow Tie Deep Blue M,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Noose & Monkey Bow Tie Deep Blue L,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Noose & Monkey Bow Tie Blue L,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Noose & Monkey Bow Tie Blue M,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Noose & Monkey Bow Tie Blue S,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Noose & Monkey Bow Tie Blue XL,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Noose & Monkey Bow Tie Blue XXL,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Noose_&_Monkey_Bow_Tie,p2.jpg,p2.jpg,p2.jpg,",",,,,,,,,
Skinny Suit Jacket,p3.jpg,p3.jpg,p3.jpg,",",,,,,,,,
Super Skinny Four Button Suit,p4.jpg,p4.jpg,p4.jpg,",",,,,,,,,
Super Skinny Suit Jacket,p5.jpg,p5.jpg,p5.jpg,",,",,,,,,,,
Heart & Dagger Slim Shirt In Check With Cut Away Collar,p6.jpg,p6.jpg,p6.jpg,,,"name=Size,type=drop_down,required=1,price=15.0000,price_type=fixed,sku=,option_title=Large|name=Size,type=drop_down,required=1,price=10.0000,price_type=fixed,sku=,option_title=Medium|name=Size,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Small|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Black|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Red|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=White",,,,,,
Heart & Dagger Slim Shirt In Check With Cut Away Collar,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Knitted Bow Tie In Burgundy Marl,p2.jpg,p2.jpg,p2.jpg,,,"name=Size,type=drop_down,required=1,price=15.0000,price_type=fixed,sku=,option_title=Large|name=Size,type=drop_down,required=1,price=10.0000,price_type=fixed,sku=,option_title=Medium|name=Size,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Small|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Black|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Red|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=White",,,,,,
shoe S,p3.jpg,p3.jpg,p3.jpg,,,"name=Size,type=drop_down,required=1,price=15.0000,price_type=fixed,sku=,option_title=Large|name=Size,type=drop_down,required=1,price=10.0000,price_type=fixed,sku=,option_title=Medium|name=Size,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Small|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Black|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=Red|name=Color,type=drop_down,required=1,price=0.0000,price_type=fixed,sku=,option_title=White",,,,,,
shoe M,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
