sku,base_image,small_image,thumbnail_image,errors
"Noose & Monkey Bow Tie Wool",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Wool Grey",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie with Metal Tipping",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
ear-phone,p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
ear-phone,p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Burgundy XL",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Deep Blue XL",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Deep Blue XXL",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Blue L",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Blue M",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Blue S",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Blue XL",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Blue XXL",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Burgundy L",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Burgundy M",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Burgundy S",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Deep Blue S",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Deep Blue M",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Deep Blue L",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Blue L",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Blue M",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Blue S",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Blue XL",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie Blue XXL",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
Noose_&_Monkey_Bow_Tie,p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Heart & Dagger Slim Shirt In Check With Cut Away Collar",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Heart & Dagger Slim Shirt In Check With Cut Away Collar",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Knitted Bow Tie In Burgundy Marl",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
shoe-1,p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
